# accelerometer data in g
t,x,y,z
1.46,-0.0938,-0.0156,0.9531
1.48,-0.0938,-0.0156,0.9531
1.50,-0.0938,-0.0156,0.9531
1.52,-0.0938,-0.0156,0.9531
1.54,-0.0938,-0.0156,0.9531
1.56,-0.0938,-0.0156,0.9531
1.58,-0.0938,-0.0156,0.9531
1.60,-0.0938,-0.0156,0.9531
1.62,-0.0938,-0.0156,0.9531
1.64,-0.0938,-0.0156,0.9531
1.66,-0.0938,-0.0156,0.9531
1.68,-0.0938,-0.0156,0.9531
1.70,-0.0938,-0.0156,0.9375
1.72,-0.0938,-0.0156,0.9531
1.74,-0.0938,-0.0156,0.9531
1.76,-0.0938,-0.0156,0.9531
1.78,-0.0938,-0.0156,0.9531
1.80,-0.0938,-0.0156,0.9531
1.82,-0.0938,-0.0156,0.9531
1.84,-0.0938,-0.0156,0.9531
1.86,-0.0938,-0.0156,0.9375
1.88,-0.0938,-0.0156,0.9531
1.90,-0.0938,-0.0156,0.9531
1.92,-0.0938,-0.0156,0.9375
1.94,-0.0938,-0.0156,0.9531
1.96,-0.0938,-0.0156,0.9531
1.98,-0.0938,-0.0156,0.9531
2.00,-0.0938,-0.0156,0.9531
2.02,-0.0938,-0.0156,0.9531
2.04,-0.0938,-0.0156,0.9531
2.06,-0.0938,-0.0156,0.9531
2.08,-0.0938,-0.0156,0.9531
2.10,-0.0938,-0.0156,0.9531
2.12,-0.0938,-0.0156,0.9531
2.14,-0.0938,-0.0156,0.9531
2.16,-0.0938,-0.0156,0.9531
2.18,-0.0938,-0.0156,0.9375
2.20,-0.0938,-0.0156,0.9531
2.22,-0.0938,-0.0156,0.9531
2.24,-0.0938,-0.0156,0.9531
2.26,-0.0938,-0.0156,0.9531
2.28,-0.0938,-0.0156,0.9531
2.30,-0.0938,-0.0156,0.9375
2.32,-0.0938,-0.0156,0.9375
2.34,-0.0938,-0.0156,0.9531
2.36,-0.0938,-0.0156,0.9531
2.38,-0.0938,-0.0156,0.9531
2.40,-0.0938,-0.0156,0.9531
2.42,-0.0938,-0.0156,0.9531
2.44,-0.0938,-0.0156,0.9531
2.46,-0.0938,-0.0156,0.9531
2.48,-0.0938,-0.0156,0.9375
2.50,-0.0938,-0.0156,0.9531
2.52,-0.0938,-0.0156,0.9531
2.54,-0.0938,-0.0156,0.9375
2.56,-0.0938,-0.0156,0.9375
2.58,-0.0938,-0.0156,0.9375
2.60,-0.0938,-0.0156,0.9375
2.62,-0.0938,-0.0156,0.9531
2.64,-0.0938,-0.0156,0.9531
2.66,-0.0938,-0.0156,0.9531
2.68,-0.0938,-0.0156,0.9531
2.70,-0.0938,-0.0156,0.9531
2.72,-0.0938,-0.0156,0.9531
2.74,-0.0938,-0.0156,0.9531
2.76,-0.0938,-0.0156,0.9531
2.78,-0.0938,-0.0156,0.9531
2.80,-0.0938,-0.0156,0.9531
2.82,-0.0938,-0.0156,0.9375
2.84,-0.0938,-0.0156,0.9375
2.86,-0.0938,-0.0156,0.9531
2.88,-0.0938,-0.0156,0.9531
2.90,-0.0938,-0.0156,0.9531
2.92,-0.0938,-0.0156,0.9531
2.94,-0.0938,-0.0156,0.9375
2.96,-0.0938,-0.0156,0.9531
2.98,-0.0938,-0.0156,0.9375
3.00,-0.0938,-0.0156,0.9531
3.02,-0.0938,-0.0156,0.9531
3.04,-0.0938,-0.0156,0.9375
3.06,-0.0938,-0.0156,0.9531
3.08,-0.0938,-0.0156,0.9531
3.10,-0.0938,-0.0156,0.9531
3.12,-0.0938,-0.0156,0.9531
3.14,-0.0938,-0.0156,0.9375
3.16,-0.0938,-0.0156,0.9375
3.18,-0.0938,-0.0156,0.9531
3.20,-0.0938,-0.0156,0.9531
3.22,-0.0938,-0.0156,0.9531
3.24,-0.0938,-0.0156,0.9531
3.26,-0.0938,-0.0156,0.9531
3.28,-0.0938,-0.0156,0.9531
3.30,-0.0938,-0.0156,0.9531
3.32,-0.0938,-0.0156,0.9531
3.34,-0.0938,-0.0156,0.9531
3.36,-0.0938,-0.0156,0.9531
3.38,-0.0938,-0.0156,0.9531
3.40,-0.0938,-0.0156,0.9531
3.42,-0.0938,-0.0156,0.9375
3.44,-0.0938,-0.0156,0.9531
3.46,-0.0938,-0.0156,0.9531
3.48,-0.0938,-0.0156,0.9375
3.50,-0.0938,-0.0156,0.9375
3.52,-0.0938,-0.0156,0.9531
3.54,-0.0938,-0.0156,0.9531
3.56,-0.0938,-0.0156,0.9531
3.58,-0.0938,-0.0156,0.9531
3.60,-0.0938,-0.0156,0.9531
3.62,-0.0938,-0.0156,0.9531
3.64,-0.0938,-0.0156,0.9375
3.66,-0.0938,-0.0156,0.9531
3.68,-0.0938,-0.0156,0.9531
3.70,-0.0938,-0.0156,0.9531
3.72,-0.0938,-0.0156,0.9375
3.74,-0.0938,-0.0156,0.9531
3.76,-0.0938,-0.0156,0.9531
3.78,-0.0938,-0.0156,0.9531
3.80,-0.0938,-0.0156,0.9531
3.82,-0.0938,-0.0156,0.9531
3.84,-0.0938,-0.0156,0.9531
3.86,-0.0938,-0.0156,0.9531
3.88,-0.0938,-0.0156,0.9531
3.90,-0.0938,-0.0156,0.9531
3.92,-0.0938,-0.0156,0.9531
3.94,-0.0938,-0.0156,0.9531
3.96,-0.0938,-0.0156,0.9531
3.98,-0.0938,-0.0156,0.9531
4.00,-0.0938,-0.0156,0.9531
4.02,-0.0938,-0.0156,0.9375
4.04,-0.0938,-0.0156,0.9531
4.06,-0.0938,-0.0156,0.9531
4.08,-0.0938,-0.0156,0.9375
4.10,-0.0938,-0.0156,0.9531
4.12,-0.0938,-0.0312,0.9531
4.14,-0.0938,-0.0156,0.9531
4.16,-0.0938,-0.0156,0.9531
4.18,-0.0938,-0.0156,0.9375
4.20,-0.0938,-0.0156,0.9531
4.22,-0.0938,-0.0156,0.9531
4.24,-0.0938,-0.0156,0.9531
4.26,-0.0938,-0.0156,0.9531
4.28,-0.0938,-0.0156,0.9531
4.30,-0.0938,-0.0156,0.9531
4.32,-0.0938,-0.0156,0.9531
4.34,-0.0938,-0.0156,0.9375
4.36,-0.0938,-0.0156,0.9531
4.38,-0.0938,-0.0156,0.9531
4.40,-0.0938,-0.0156,0.9531
4.42,-0.0938,-0.0156,0.9531
4.44,-0.0938,-0.0156,0.9531
4.46,-0.0938,-0.0156,0.9375
4.48,-0.0938,-0.0156,0.9375
4.50,-0.0938,-0.0156,0.9531
4.52,-0.0938,-0.0156,0.9375
4.54,-0.0938,-0.0156,0.9531
4.56,-0.0938,-0.0156,0.9531
4.58,-0.0938,-0.0156,0.9531
4.60,-0.0938,-0.0156,0.9531
4.62,-0.0938,-0.0156,0.9375
4.64,-0.0938,-0.0156,0.9375
4.66,-0.0938,-0.0156,0.9375
4.68,-0.0938,-0.0156,0.9375
4.70,-0.0938,-0.0156,0.9375
4.72,-0.0938,-0.0156,0.9375
4.74,-0.0938,-0.0156,0.9531
4.76,-0.0938,-0.0156,0.9531
4.78,-0.0938,-0.0156,0.9531
4.80,-0.0938,-0.0156,0.9531
4.82,-0.0938,-0.0156,0.9531
4.84,-0.0938,-0.0156,0.9531
4.86,-0.0938,-0.0156,0.9375
4.88,-0.0938,-0.0156,0.9375
4.90,-0.0938,-0.0156,0.9531
4.92,-0.0938,-0.0156,0.9531
4.94,-0.0938,-0.0156,0.9531
4.96,-0.0938,-0.0156,0.9375
4.98,-0.0938,-0.0156,0.9531
5.00,-0.0938,-0.0156,0.9375
5.02,-0.0938,-0.0156,0.9531
5.04,-0.0938,-0.0156,0.9531
5.06,-0.0938,-0.0156,0.9375
5.08,-0.0938,-0.0156,0.9531
5.10,-0.0938,-0.0156,0.9531
5.12,-0.0938,-0.0156,0.9531
5.14,-0.0938,-0.0156,0.9375
5.16,-0.0938,-0.0156,0.9375
5.18,-0.0938,-0.0156,0.9375
5.20,-0.0938,-0.0156,0.9531
5.22,-0.0938,-0.0156,0.9375
5.24,-0.0938,-0.0156,0.9531
5.26,-0.0938,-0.0156,0.9375
5.28,-0.0938,-0.0156,0.9531
5.30,-0.0938,-0.0156,0.9531
5.32,-0.0938,-0.0156,0.9375
5.34,-0.0938,-0.0156,0.9375
5.36,-0.0938,-0.0156,0.9531
5.38,-0.0938,-0.0156,0.9531
5.40,-0.0938,-0.0156,0.9531
5.42,-0.0938,-0.0156,0.9531
5.44,-0.0938,-0.0156,0.9531
5.46,-0.0938,-0.0156,0.9531
5.48,-0.0938,-0.0156,0.9531
5.50,-0.0938,-0.0156,0.9531
5.52,-0.0938,-0.0156,0.9531
5.54,-0.0938,-0.0156,0.9375
5.56,-0.0938,-0.0156,0.9531
5.58,-0.0938,-0.0156,0.9531
5.60,-0.0938,-0.0156,0.9531
5.62,-0.0938,-0.0156,0.9531
5.64,-0.0938,-0.0156,0.9531
5.66,-0.0938,-0.0156,0.9531
5.68,-0.0938,-0.0156,0.9531
5.70,-0.0938,-0.0156,0.9531
5.72,-0.0938,-0.0156,0.9531
5.74,-0.0938,-0.0156,0.9375
5.76,-0.0938,-0.0156,0.9375
5.78,-0.0938,-0.0156,0.9531
5.80,-0.0938,-0.0156,0.9531
5.82,-0.0938,-0.0156,0.9531
5.84,-0.0938,-0.0156,0.9531
5.86,-0.0938,-0.0156,0.9375
5.88,-0.0938,-0.0156,0.9531
5.90,-0.0938,-0.0156,0.9531
5.92,-0.0938,-0.0156,0.9531
5.94,-0.0938,-0.0156,0.9375
5.96,-0.0938,-0.0156,0.9531
5.98,-0.0938,-0.0156,0.9531
6.00,-0.0938,-0.0156,0.9531
6.02,-0.0938,-0.0156,0.9375
6.04,-0.0938,-0.0156,0.9531
6.06,-0.0938,-0.0156,0.9531
6.08,-0.0938,-0.0156,0.9531
6.10,-0.0938,-0.0156,0.9531
6.12,-0.0938,-0.0156,0.9375
6.14,-0.0938,-0.0156,0.9531
6.16,-0.0938,-0.0156,0.9531
6.18,-0.0938,-0.0156,0.9531
6.20,-0.0938,-0.0156,0.9531
6.22,-0.0938,-0.0156,0.9375
6.24,-0.0938,-0.0156,0.9531
6.26,-0.0938,-0.0156,0.9531
6.28,-0.0938,-0.0156,0.9531
6.30,-0.0938,-0.0156,0.9375
6.32,-0.0938,-0.0156,0.9375
6.34,-0.0938,-0.0156,0.9531
6.36,-0.0938,-0.0156,0.9531
6.38,-0.0938,-0.0156,0.9531
6.40,-0.0938,-0.0156,0.9531
6.42,-0.0938,-0.0156,0.9531
6.44,-0.0938,-0.0156,0.9531
6.46,-0.0938,-0.0156,0.9531
6.48,-0.0938,-0.0156,0.9375
6.50,-0.0938,-0.0156,0.9375
6.52,-0.0938,-0.0156,0.9531
6.54,-0.0938,-0.0156,0.9531
6.56,-0.0938,-0.0156,0.9531
6.58,-0.0938,-0.0156,0.9531
6.60,-0.0938,-0.0156,0.9531
6.62,-0.0938,-0.0156,0.9531
6.64,-0.0938,-0.0156,0.9531
6.66,-0.0938,-0.0156,0.9531
6.68,-0.0938,-0.0156,0.9375
6.70,-0.0938,-0.0156,0.9531
6.72,-0.0938,-0.0156,0.9531
6.74,-0.0938,-0.0156,0.9375
6.76,-0.0938,-0.0156,0.9375
6.78,-0.0938,-0.0156,0.9531
6.80,-0.0938,-0.0156,0.9531
6.82,-0.0938,-0.0156,0.9375
6.84,-0.0938,-0.0156,0.9531
6.86,-0.0938,-0.0156,0.9531
6.88,-0.0938,-0.0156,0.9531
6.90,-0.0938,-0.0156,0.9531
6.92,-0.0938,-0.0156,0.9531
6.94,-0.0938,-0.0156,0.9375
6.96,-0.0938,-0.0156,0.9531
6.98,-0.0938,-0.0156,0.9531
7.00,-0.0938,-0.0156,0.9375
7.02,-0.0938,-0.0156,0.9531
7.04,-0.0938,-0.0156,0.9531
7.06,-0.0938,-0.0156,0.9531
7.08,-0.0938,-0.0156,0.9375
7.10,-0.0938,-0.0156,0.9531
7.12,-0.0938,-0.0156,0.9531
7.14,-0.0938,-0.0156,0.9375
7.16,-0.0938,-0.0156,0.9531
7.18,-0.0938,-0.0156,0.9531
7.20,-0.0938,-0.0156,0.9531
7.22,-0.0938,-0.0156,0.9531
7.24,-0.0938,-0.0156,0.9375
7.26,-0.0938,-0.0156,0.9531
7.28,-0.0938,-0.0156,0.9531
7.30,-0.0938,-0.0156,0.9375
7.32,-0.0938,-0.0156,0.9531
7.34,-0.0938,-0.0156,0.9531
7.36,-0.0938,-0.0156,0.9531
7.38,-0.0938,-0.0156,0.9375
7.40,-0.0938,-0.0156,0.9531
7.42,-0.0938,-0.0156,0.9375
7.44,-0.0938,-0.0156,0.9531
7.46,-0.0938,-0.0156,0.9531
7.48,-0.0938,-0.0156,0.9531
7.50,-0.0938,-0.0156,0.9531
7.52,-0.0938,-0.0156,0.9531
7.54,-0.0938,-0.0156,0.9531
7.56,-0.0938,-0.0156,0.9531
7.58,-0.0938,-0.0156,0.9531
7.60,-0.0938,-0.0156,0.9531
7.62,-0.0938,-0.0156,0.9531
7.64,-0.0938,-0.0156,0.9375
7.66,-0.0938,-0.0156,0.9531
7.68,-0.0938,-0.0156,0.9531
7.70,-0.0938,-0.0156,0.9531
7.72,-0.0938,-0.0156,0.9531
7.74,-0.0938,-0.0156,0.9531
7.76,-0.0938,-0.0156,0.9531
7.78,-0.0938,-0.0156,0.9375
7.80,-0.0938,-0.0156,0.9531
7.82,-0.0938,-0.0156,0.9531
7.84,-0.0938,-0.0156,0.9375
7.86,-0.0938,-0.0156,0.9531
7.88,-0.0938,-0.0156,0.9375
7.90,-0.0938,-0.0156,0.9531
7.92,-0.0938,-0.0156,0.9531
7.94,-0.0938,-0.0156,0.9375
7.96,-0.0938,-0.0156,0.9531
7.98,-0.0938,-0.0156,0.9531
8.00,-0.0938,-0.0156,0.9531
8.02,-0.0938,-0.0156,0.9531
8.04,-0.0938,-0.0156,0.9375
8.06,-0.0938,-0.0156,0.9531
8.08,-0.0938,-0.0156,0.9531
8.10,-0.0938,-0.0156,0.9375
8.12,-0.0938,-0.0156,0.9531
8.14,-0.0938,-0.0156,0.9531
8.16,-0.0938,-0.0156,0.9531
8.18,-0.0938,-0.0156,0.9375
8.20,-0.0938,-0.0156,0.9531
8.22,-0.0938,-0.0156,0.9531
8.24,-0.0938,-0.0156,0.9531
8.26,-0.0938,-0.0156,0.9375
8.28,-0.0938,-0.0156,0.9375
8.30,-0.0938,-0.0156,0.9531
8.32,-0.0938,-0.0156,0.9375
8.34,-0.0938,-0.0156,0.9531
8.36,-0.0938,-0.0156,0.9531
8.38,-0.0938,-0.0156,0.9531
8.40,-0.0938,-0.0156,0.9531
8.42,-0.0938,-0.0156,0.9531
8.44,-0.0938,-0.0156,0.9375
8.46,-0.0938,-0.0156,0.9531
8.48,-0.0938,-0.0156,0.9531
8.50,-0.0938,-0.0156,0.9531
8.52,-0.0938,-0.0156,0.9531
8.54,-0.0938,-0.0156,0.9531
8.56,-0.0938,-0.0156,0.9375
8.58,-0.0938,-0.0156,0.9375
8.60,-0.0938,-0.0156,0.9531
8.62,-0.0938,-0.0156,0.9531
8.64,-0.0938,-0.0156,0.9531
8.66,-0.0938,-0.0156,0.9531
8.68,-0.0938,-0.0156,0.9375
8.70,-0.0938,-0.0156,0.9531
8.72,-0.0938,-0.0156,0.9531
8.74,-0.0938,-0.0156,0.9531
8.76,-0.0938,-0.0156,0.9531
8.78,-0.0781,-0.0156,0.9531
8.80,-0.1094,-0.0156,0.9531
8.82,-0.0938,-0.0156,0.9531
8.84,-0.0938,-0.0156,0.9531
8.86,-0.0938,-0.0156,0.9531
8.88,-0.0938,-0.0156,0.9531
8.90,-0.0938,-0.0156,0.9531
8.92,-0.0938,-0.0156,0.9531
8.94,-0.0938,-0.0156,0.9531
8.96,-0.0938,-0.0156,0.9531
8.98,-0.0938,-0.0312,0.9531
9.00,-0.0938,-0.0156,0.9375
9.02,-0.0938,-0.0156,0.9531
9.04,-0.0938,-0.0156,0.9531
9.06,-0.0938,-0.0156,0.9531
9.08,-0.0938,-0.0156,0.9531
9.10,-0.0938,-0.0156,0.9531
9.12,-0.0938,-0.0156,0.9531
9.14,-0.0938,-0.0156,0.9375
9.16,-0.0938,-0.0156,0.9531
9.18,-0.0938,-0.0156,0.9375
9.20,-0.0938,-0.0156,0.9531
9.22,-0.0938,-0.0156,0.9531
9.24,-0.0938,-0.0156,0.9531
9.26,-0.0938,-0.0156,0.9531
9.28,-0.0938,-0.0156,0.9531
9.30,-0.0938,-0.0156,0.9531
9.32,-0.0938,-0.0156,0.9375
9.34,-0.0938,-0.0156,0.9531
9.36,-0.0938,-0.0156,0.9531
9.38,-0.0938,-0.0156,0.9531
9.40,-0.0938,-0.0156,0.9375
9.42,-0.0938,-0.0156,0.9531
9.44,-0.0938,-0.0156,0.9531
9.46,-0.0938,-0.0156,1.0156
9.48,-0.0938,-0.0156,0.9375
9.50,-0.0938,-0.0156,0.9531
9.52,-0.0938,-0.0156,0.9375
9.54,-0.0938,-0.0156,0.9531
9.56,-0.0938,-0.0156,0.9531
9.58,-0.0938,-0.0156,0.9531
9.60,-0.0938,-0.0312,0.9531
9.62,-0.0938,-0.0156,0.9531
9.64,-0.0938,-0.0156,0.9531
9.66,-0.0938,-0.0156,0.9531
9.68,-0.0938,-0.0156,0.9375
9.70,-0.0938,-0.0156,0.9375
9.72,-0.0938,-0.0156,0.9531
9.74,-0.0938,-0.0156,0.9531
9.76,-0.0938,-0.0156,0.9531
9.78,-0.0938,-0.0156,0.9531
9.80,-0.0938,-0.0156,0.9531
9.82,-0.0938,-0.0156,0.9531
9.84,-0.0938,-0.0156,0.9531
9.86,-0.0938,-0.0156,0.9531
9.88,-0.0938,-0.0156,0.9375
9.90,-0.0938,-0.0156,0.9531
9.92,-0.0938,-0.0156,0.9531
9.94,-0.0938,-0.0156,0.9531
9.96,-0.0938,-0.0156,0.9531
9.98,-0.0938,-0.0156,0.9531
10.00,-0.0938,-0.0156,0.9531
10.02,-0.0938,-0.0156,0.9531
10.04,-0.0938,-0.0156,0.9375
10.06,-0.0938,-0.0156,0.9531
10.08,-0.0938,-0.0156,0.9531
10.10,-0.0938,-0.0156,0.9375
10.12,-0.0938,-0.0156,0.9531
10.14,-0.0938,-0.0156,0.9531
10.16,-0.0938,-0.0156,0.9531
10.18,-0.0938,-0.0312,0.9531
10.20,-0.0938,-0.0156,0.9531
10.22,-0.0938,-0.0156,0.9531
10.24,-0.0938,-0.0156,0.9531
10.26,-0.0938,-0.0156,0.9531
10.28,-0.0938,-0.0156,0.9531
10.30,-0.0938,-0.0156,0.9531
10.32,-0.0938,-0.0156,0.9531
10.34,-0.0938,-0.0156,0.9375
10.36,-0.0938,-0.0156,0.9531
10.38,-0.0938,-0.0156,0.9375
10.40,-0.0938,-0.0156,0.9531
10.42,-0.0938,-0.0156,0.9531
10.44,-0.0938,-0.0156,0.9375
10.46,-0.0938,-0.0156,0.9375
10.48,-0.0938,-0.0156,0.9531
10.50,-0.0938,-0.0156,0.9531
10.52,-0.0938,-0.0156,0.9375
10.54,-0.0938,-0.0156,0.9531
10.56,-0.0938,-0.0156,0.9531
10.58,-0.0938,-0.0156,0.9531
10.60,-0.0938,-0.0156,0.9531
10.62,-0.0938,-0.0156,0.9531
10.64,-0.0938,-0.0156,0.9375
10.66,-0.0938,-0.0156,0.9375
10.68,-0.0938,-0.0156,0.9531
10.70,-0.0938,-0.0156,0.9531
10.72,-0.0938,-0.0156,0.9531
10.74,-0.0938,-0.0156,0.9531
10.76,-0.0938,-0.0156,0.9531
10.78,-0.0938,-0.0156,0.9531
10.80,-0.0938,-0.0156,0.9531
10.82,-0.0938,-0.0156,0.9375
10.84,-0.0938,-0.0156,0.9531
10.86,-0.0938,-0.0156,0.9531
10.88,-0.0938,-0.0156,0.9531
10.90,-0.0938,-0.0156,0.9531
10.92,-0.0938,-0.0312,0.9531
10.94,-0.0938,-0.0156,0.9531
10.96,-0.0938,-0.0156,0.9531
10.98,-0.0938,-0.0156,0.9531
11.00,-0.0938,-0.0156,0.9531
11.02,-0.0938,-0.0156,0.9531
11.04,-0.0938,-0.0156,0.9531
11.06,-0.0781,-0.0156,0.9531
11.08,-0.0938,-0.0156,0.9531
11.10,-0.0938,-0.0156,0.9531
11.12,-0.0938,-0.0156,0.9375
11.14,-0.0938,-0.0156,0.9531
11.16,-0.0938,-0.0156,0.9375
11.18,-0.0938,-0.0156,0.9375
11.20,-0.0938,-0.0156,0.9531
11.22,-0.0938,-0.0156,0.9531
11.24,-0.0938,-0.0156,0.9531
11.26,-0.0938,-0.0156,0.9531
11.28,-0.0938,-0.0156,0.9531
11.30,-0.0938,-0.0156,0.9531
11.32,-0.0938,-0.0156,0.9531
11.34,-0.0938,-0.0156,0.9531
11.36,-0.0938,-0.0156,0.9531
11.38,-0.0938,-0.0156,0.9531
11.40,-0.0938,-0.0156,0.9375
11.42,-0.0938,-0.0156,0.9531
11.44,-0.0938,-0.0156,0.9531
11.46,-0.0938,-0.0312,0.9531
11.48,-0.0938,-0.0156,0.9531
11.50,-0.0781,-0.0156,0.9531
11.52,-0.0938,-0.0156,0.9531
11.54,-0.0938,-0.0156,0.9375
11.56,-0.0938,-0.0156,0.9375
11.58,-0.0938,-0.0156,0.9531
11.60,-0.0938,-0.0156,0.9531
11.62,-0.0938,-0.0156,0.9531
11.64,-0.0938,-0.0156,0.9531
11.66,-0.0938,-0.0156,0.9375
11.68,-0.0938,-0.0156,0.9531
11.70,-0.0938,-0.0156,0.9375
11.72,-0.0938,-0.0156,0.9375
11.74,-0.0938,-0.0156,0.9531
11.76,-0.0938,-0.0156,0.9531
11.78,-0.0938,-0.0156,0.9531
11.80,-0.0938,-0.0156,0.9531
11.82,-0.0938,-0.0156,0.9531
11.84,-0.0938,-0.0156,0.9531
11.86,-0.0938,-0.0156,0.9531
11.88,-0.0938,-0.0156,0.9375
11.90,-0.0938,-0.0156,0.9531
11.92,-0.0938,-0.0156,0.9531
11.94,-0.0938,-0.0156,0.9531
11.96,-0.0938,-0.0156,0.9531
11.98,-0.0938,-0.0156,0.9375
12.00,-0.0938,-0.0156,0.9531
12.02,-0.0938,-0.0156,0.9531
12.04,-0.0938,-0.0156,0.9531
12.06,-0.0938,-0.0156,0.9531
12.08,-0.0938,-0.0156,0.9375
12.10,-0.0938,-0.0156,0.9531
12.12,-0.0938,-0.0156,0.9531
12.14,-0.0938,-0.0156,0.9375
12.16,-0.0938,-0.0156,0.9531
12.18,-0.0938,-0.0156,0.9375
12.20,-0.0938,-0.0156,0.9531
12.22,-0.0938,-0.0156,0.9531
12.24,-0.0938,-0.0156,0.9531
12.26,-0.0938,-0.0156,0.9531
12.28,-0.0938,-0.0156,0.9531
12.30,-0.0938,-0.0156,0.9531
12.32,-0.0938,-0.0156,0.9531
12.34,-0.0938,-0.0156,0.9531
12.36,-0.0938,-0.0156,0.9375
12.38,-0.0938,-0.0156,0.9531
12.40,-0.0938,-0.0156,0.9531
12.42,-0.0938,-0.0156,0.9531
12.44,-0.0938,-0.0156,0.9531
12.46,-0.0938,-0.0156,0.9531
12.48,-0.0938,-0.0156,0.9375
12.50,-0.0938,-0.0156,0.9531
12.52,-0.0938,-0.0156,0.9531
12.54,-0.0938,-0.0156,0.9531
12.56,-0.0938,-0.0156,0.9375
12.58,-0.0938,-0.0156,0.9531
12.60,-0.0938,-0.0156,0.9375
12.62,-0.0938,-0.0156,0.9531
12.64,-0.0938,-0.0156,0.9531
12.66,-0.0938,-0.0156,0.9531
12.68,-0.0938,-0.0156,0.9531
12.70,-0.0938,-0.0156,0.9531
12.72,-0.0938,-0.0156,0.9531
12.74,-0.0938,-0.0156,0.9531
12.76,-0.0938,-0.0156,0.9531
12.78,-0.0938,-0.0156,0.9531
12.80,-0.0938,-0.0156,0.9531
12.82,-0.0938,-0.0156,0.9531
12.84,-0.0938,-0.0156,0.9531
12.86,-0.0938,-0.0156,0.9375
12.88,-0.0938,-0.0156,0.9531
12.90,-0.0938,-0.0156,0.9375
12.92,-0.0938,-0.0156,0.9531
12.94,-0.0938,-0.0156,0.9531
12.96,-0.0938,-0.0156,0.9531
12.98,-0.0938,-0.0156,0.9531
13.00,-0.0938,-0.0156,0.9531
13.02,-0.0938,-0.0156,0.9531
13.04,-0.0938,-0.0156,0.9531
13.06,-0.0938,-0.0156,0.9531
13.08,-0.0938,-0.0156,0.9531
13.10,-0.0938,-0.0312,0.9375
13.12,-0.0938,-0.0156,0.9375
13.14,-0.0938,-0.0156,0.9531
13.16,-0.0938,-0.0156,0.9531
13.18,-0.0938,-0.0156,0.9531
13.20,-0.0938,-0.0156,0.9531
13.22,-0.0938,-0.0156,0.9531
13.24,-0.0938,-0.0156,0.9531
13.26,-0.0938,-0.0156,0.9531
